Station,closure_date,start_time,end_time,duration_minutes,n_intervals,mean_flow,mean_speed,max_occupancy,multi_station_event
317791,2013-02-09,2013-02-09 02:10:00,2013-02-09 05:00:00,175.0,34,3.9411764705882355,64.70588235294117,0.0029,True
316249,2013-02-10,2013-02-10 01:40:00,2013-02-10 05:45:00,250.0,44,3.3863636363636362,67.25,0.0031,True
316261,2013-02-10,2013-02-10 01:10:00,2013-02-10 05:55:00,290.0,58,2.8275862068965516,66.68620689655172,0.0063,True
317791,2013-02-10,2013-02-10 01:30:00,2013-02-10 05:40:00,255.0,51,3.5294117647058822,65.3313725490196,0.0029,True
316249,2013-02-11,2013-02-11 01:50:00,2013-02-11 02:40:00,55.0,6,2.8333333333333335,69.03333333333333,0.0019,True
316261,2013-02-11,2013-02-11 01:50:00,2013-02-11 02:55:00,70.0,13,3.6923076923076925,66.66923076923078,0.0069,True
317791,2013-02-11,2013-02-11 00:25:00,2013-02-11 04:10:00,230.0,46,3.3260869565217392,65.42608695652174,0.0032,True
316249,2013-02-12,2013-02-12 01:25:00,2013-02-12 03:40:00,140.0,6,4.0,66.68333333333334,0.0026,True
316261,2013-02-12,2013-02-12 01:05:00,2013-02-12 02:45:00,105.0,7,4.285714285714286,64.94285714285714,0.0109,True
317791,2013-02-12,2013-02-12 01:25:00,2013-02-12 04:15:00,175.0,35,3.8857142857142857,64.55142857142857,0.003,True
316249,2013-02-13,2013-02-13 01:50:00,2013-02-13 02:15:00,30.0,2,4.5,65.85,0.0037,True
316261,2013-02-13,2013-02-13 01:45:00,2013-02-13 02:50:00,70.0,5,3.8,65.42,0.0075,True
317791,2013-02-13,2013-02-13 00:35:00,2013-02-13 04:15:00,225.0,45,3.4,64.93777777777777,0.0034,True
316249,2013-02-14,2013-02-14 01:05:00,2013-02-14 02:05:00,65.0,3,3.3333333333333335,66.66666666666667,0.0021,True
316261,2013-02-14,2013-02-14 01:10:00,2013-02-14 02:10:00,65.0,6,3.0,66.73333333333333,0.0066,True
317791,2013-02-14,2013-02-14 00:50:00,2013-02-14 04:10:00,205.0,41,3.4878048780487805,63.9219512195122,0.0031,True
316261,2013-02-15,2013-02-15 02:10:00,2013-02-15 04:05:00,120.0,3,4.333333333333333,66.06666666666666,0.0068,True
317791,2013-02-15,2013-02-15 01:05:00,2013-02-15 04:05:00,185.0,37,3.5945945945945947,64.22972972972973,0.0027,True
317791,2013-02-16,2013-02-16 02:20:00,2013-02-16 05:00:00,165.0,33,3.909090909090909,64.71515151515152,0.0029,False
316249,2013-02-17,2013-02-17 02:20:00,2013-02-17 05:35:00,200.0,32,3.53125,67.075,0.0024,True
316261,2013-02-17,2013-02-17 02:20:00,2013-02-17 05:40:00,205.0,40,3.1,66.6225,0.0076,True
317791,2013-02-17,2013-02-17 01:40:00,2013-02-17 05:40:00,245.0,49,3.4693877551020407,65.34897959183674,0.0029,True
316249,2013-02-18,2013-02-18 02:05:00,2013-02-18 04:05:00,125.0,7,4.0,65.58571428571429,0.0036,True
316261,2013-02-18,2013-02-18 00:35:00,2013-02-18 03:55:00,205.0,17,4.235294117647059,65.02941176470588,0.0092,True
