closure_start,closure_end,has_reopening_time,postId,URL,is_wb,is_eb,text
2024-02-07 03:05:17+00:00,,False,706276991691182,https://www.facebook.com/chp.truckee/videos/1663294904484168/,1,1,"Ok, so we have a couple of things happening on I-80 over Donner Summit…A small fast moving storm hit the summit bringing snow and ice to the roadway causing a bit of a mess. I-80 eastbound traffic is still being held at Castle Peak due to multiple big rig spin outs on 60 mile. Chain control has been implemented on westbound I-80 at the Donner Lake Interchange.

(02/06/24  7:00pm)"
2024-02-28 23:47:08+00:00,,False,718531460465735,https://www.facebook.com/reel/381707881332499/,0,0,"Winter time ❄️... we love it or hate it, or love it and hate at the same time… 

The strongest storm of the year is coming to the Truckee/Tahoe Region beginning tomorrow and lasting into Sunday. Reports are calling for 5-10 FEET of snow with snow falling at up to 5 inches per hour at times. 

Travel over the Sierra’s is HIGHLY DISCOURAGED over the next few days as travel will be extremely dangerous with BLIZZARD conditions, whiteout conditions(100+ mph), near-zero visibility, long delays and road closures."
2024-03-02 01:09:56+00:00,2024-03-04 17:15:00+00:00,True,719613137024234,https://www.facebook.com/reel/850283367115713/,1,1,"AAANNNDD WE’RE CLOSED!! I-80 westbound traffic is being turned at the Nevada State line and eastbound I-80 traffic is being turned around at Drum Forebay due to spin outs, high winds, and low visibility. No estimated time of reopening the freeway. 

(03/01/24 at 5:00pm)"
2024-03-02 04:20:23+00:00,2024-03-04 17:15:00+00:00,True,719681323684082,https://www.facebook.com/chp.truckee/videos/1497954160762407/,1,1,"⚠️ UPDATE ⚠️ (03/01/24 at 8:20pm)

I-80 remains closed at Drum Forebay and the Nevada State line."
2024-03-02 13:30:29+00:00,2024-03-04 17:15:00+00:00,True,719886200330261,https://www.facebook.com/chp.truckee/videos/722955856639228/,1,1,"⚠️⚠️ UPDATE ⚠️⚠️
(03/02/24 at 5:30am)

I-80 westbound traffic is still being turned around at the Nevada State line and eastbound traffic is being turned around at Colfax. No estimated time of reopening the freeway.

*for updates on road conditions/closures visit: https://quickmap.dot.ca.gov"
2024-03-02 16:32:53+00:00,2024-03-04 17:15:00+00:00,True,719971860321695,https://www.facebook.com/reel/410965178195387/,1,1,"CUTRENT CONDITIONS 
(03/02/24 at 8:30am) 

I-80 remains closed at the Nevada state line and Colfax. Last night, we had a mass amount of vehicles stuck over Donner Summit and it took several hours for emergency personnel and tow trucks to reach motorists. At one point, emergency personnel and tow trucks had a difficult time getting to motorists due to blizzard conditions. Caltrans District 3 is currently evaluating the roads and we will be working on recovering vehicles left on the freeway after motorists were transported to a safe location. There is no estimated time of reopening the freeway so we suggest you stay home. Stay warm and don’t put yourself and your family in a dangerous situation."
2024-03-02 21:33:04+00:00,2024-03-04 17:15:00+00:00,True,720082276977320,https://www.facebook.com/chp.truckee/videos/1574218726676613/,1,1,"⚠️I-80 remains closed at Colfax and the Nevada State line. Still no estimated time of reopening the freeway⚠️

(03/02/24 at 1:35pm)"
2024-03-03 03:59:45+00:00,2024-03-04 17:15:00+00:00,True,720205380298343,https://www.facebook.com/chp.truckee/videos/1114960473170609/,1,1,"Looks like winter had a late start and finally made a comeback… but we’ve been here before ❄️

I-80 eastbound is still being turned around at Colfax and westbound traffic is being turned around at the Nevada State line."
2024-03-03 14:00:55+00:00,2024-03-04 17:15:00+00:00,True,720437113608503,https://www.facebook.com/reel/1068920544186014/,1,1,"⚠️I-80 remains closed at Colfax and the Nevada State line. Still no estimated time of reopening the freeway⚠️

(03/03/24 at 6:00am)"
2024-03-03 19:33:51+00:00,2024-03-04 17:15:00+00:00,True,720581870260694,https://www.facebook.com/chp.truckee/videos/1336318573900220/,1,1,"⚠️I-80 remains closed at Colfax and the Nevada State line. Still no estimated time of reopening the freeway⚠️

(03/03/24 at 11:30am)"
2024-03-04 03:07:55+00:00,2024-03-04 17:15:00+00:00,True,720737430245138,https://www.facebook.com/chp.truckee/videos/1071873763868691/,1,1,"The blizzard warning is no longer in effect, but it’s still heavily snowing over Donner Summit with high winds at times. Still no estimated time of reopening the freeway. 

(03/03/24 at 7:05pm)

** For updates on road conditions/road closures visit: https://quickmap.dot.ca"
2024-03-04 17:17:28+00:00,,False,721069116878636,https://www.facebook.com/chp.truckee/videos/908619664079280/,1,1,"OK, HERE WE GO‼️

(03/04/24 at 9:15am) 

I-80 is now open over Donner Summit! Westbound and eastbound traffic has been released to PASSENGER VEHICLES ONLY. Big rigs are still being held. We know  there are anxious people trying to get over the summit and get to thier destinations, but we ask that you take it SLOW as the roads are still covered in snow and are icy.  Let’s all do our part to keep the freeway open! 

• R2 restrictions are in effect on I-80 in both directions from the Nevada State line to Colfax 
• SR-267 is R2 from Northstar to Kings Beach. ￼
• SR-89 is R2 from Truckee to Tahoe City.
• SR-28 is R2 from Tahoe city to Kings Beach. ￼￼￼"
2024-03-04 21:27:37+00:00,,False,721156726869875,https://www.facebook.com/chp.truckee/posts/pfbid024ZG3x4fZbtKYFPyogXtEYDdpfA5KPzpdo2XxGsS2tTkqsJC44Vo3MXMdoBu8JF9Hl,1,1,"❄️ Chain Control Update ❄️
(03/04/24 at 1:30pm)

• I-80 is R2 in both directions from Truckee to Nyack. 
• SR-89 is R2 from Truckee to Olympic Valley. 
• SR-267 is R2 from Northstar’s to Kings Beach. 
• SR-28 is R2 from Tahoe City to Kings Beach. 
• Trucks are still being held. 

***for updates on chain control visit: https://quickmap.dot.ca.gov"
2024-03-05 04:17:06+00:00,,False,721293493522865,https://www.facebook.com/chp.truckee/posts/pfbid02gWxLkcbPbtxAfBh9zsr3WPhE4FEKdBYQbfnSResGuEXnmiBgPeN35S5H42yGWsmGl,1,1,"Felt kinda cute…

Might mess up I-80 eastbound later!!! 

Traffic alert:

I-80 eastbound is currently closed in Truckee do to a jackknifed big rig at Central Truckee. 

But wait there’s more:

Currently holding westbound traffic due to spun out big rigs I-80 westbound west of Donner Lake Rd.

#dejavu #norestfortheweary #niceonebruva #aintnobusinesslikesnowbusiness #i80things #chp #chptruckee #comeonman"
2024-03-23 12:30:36+00:00,2024-03-23 14:35:00+00:00,True,731221645863383,https://www.facebook.com/reel/1590925675006217/,1,1,"⚠️Chain Control Update: I-80 westbound traffic is currently being held in Truckee due to multiple spin outs over Donner Summit ⚠️
(03/23/24 at 5:20am)

• I-80 westbound is R2 from Truckee to Drum Forebay.
• I-80 eastbound is R2 from Drum Forebay to Boca.

• Trucks are at maximum restrictions. 

***for updates on chain control visit: https://quickmap.dot.ca.gov"
2024-04-01 13:52:27+00:00,,False,736623471989867,https://www.facebook.com/reel/7327588220627894/,1,0,I-80 westbound west of Soda Springs is closed due to a crash.  There is currently no estimated time of opening while we work w Csltrans to clean it up.  A big rig struck the rear of a CalTrans sander resulting in cab of the big rig being completely ejected from the truck.  The drivers of both vehicles walked away with only very minor injuries.  WESTBOUND 80 TRAFFIC IS CURRENTLY BEING TURNED AT STATELINE AND DONNER GATE IN TRUCKEE.
2024-05-04 21:31:29+00:00,2024-05-05 02:00:00+00:00,True,756080360044178,https://www.facebook.com/chp.truckee/videos/2169696800043529/,1,1,"This is why we can’t have nice things..

(05/04/24 at 2:25pm)

I-80 eastbound traffic is being turned around at Baxter and I-80 westbound traffic is being turned around in Truckee due to multiple spin outs and collisions over Donner Summit. No ETO…

**for updates on road conditions/closures visit the Caltrans Quickmap App."
2024-05-05 02:18:45+00:00,,False,756177220034492,https://www.facebook.com/reel/418817791095332/,1,1,"❄️ UPDATE ❄️ (5/04/24 at 7:00pm)

I-80 eastbound traffic has been released over Donner Summit with R2 restrictions however, I-80 westbound traffic is still being turned around in Truckee. 

** for updates on road conditions visit the Caltrans Quickmap App."
2024-05-05 05:34:59+00:00,2024-05-05 12:15:00+00:00,True,756260743359473,https://www.facebook.com/chp.truckee/videos/1099948407968840/,1,1,"Current Conditions: 

(05/04/24 at 10:30pm)

I-80 westbound traffic is still being held in Truckee and at the Nevada State line…. No ETO. I-80 eastbound is R2 from Alta to the Nevada State line and trucks are at maximum restrictions. Caltrans is working hard to clear the roadway and things are still a bit messy out there."
2024-05-05 14:10:42+00:00,,False,756481866670694,https://www.facebook.com/reel/957683319371189/,1,1,"Definitely not a good way to melt the snow 😳 🔥

I-80 eastbound traffic is temporarily being held at Castle Peak until personnel clear this big rig fire. Luckily, no one was injured from this fire.

CHAIN CONTROL UPDATE: 

(05/05/24 at 7:10am )

• I-80 is R2 in both directions from the Nevada State line to Drum Forebay.
• Trucks are at maximum restrictions. 

** for updates on road conditions visit the Caltrans QuickMap App. ￼"
2024-11-11 21:38:26+00:00,,False,878652597786953,https://www.facebook.com/chp.truckee/posts/pfbid0w3cywd2aLK6JncU1N5yYWx3CUWznPgQsEvK4YRgjQc4FW6cjyUqb4dqubEoRfwBLl,1,1,"🚨TRAFFIC ALERT 🚨 
(11/11/24 at 1:30pm) 

I-80 is currently closed in both directions from Drum Forebay to the Donner Lake Interchange due to multiple spinouts over Donner Summit. No estimated time of reopening."
2024-12-03 19:36:36+00:00,,False,893356699649876,https://www.facebook.com/chp.truckee/posts/pfbid034U1vfsu7mQAEQ2HfUwE2iYSHVmuZSdNbcGBcG2Y5kwAVf787KRvh9nao8Dc3r3nkl,0,1,"🎶 Cleanup in the fast lane! 🎶

The #1 lane on eastbound I-80, at Donner Gate, is closed due to an overturned big rig. Luckily, the driver escaped with only minor injuries. Crews are working hard to clear the scene, and the lane will reopen as soon as it’s safe.  Slow down, be alert, and watch for personnel in the area! 

#CHPTruckee #TrafficUpdate #SlowDown #YouCantParkThere"
2024-12-11 16:38:27+00:00,,False,898774625774750,https://www.facebook.com/chp.truckee/posts/pfbid023RdCtG51ed47upsmqM5E9JxN2k9SQ8X2AGLghhn3EYwg7MrbqJhtjyNbmzEdUmD8l,1,1,"🌲❄️ Calm Before the Storm ❄️🌲

Ahh, Truckee serenity: crisp air, a peaceful lake, and clear skies. But don’t let this peaceful scene fool you – this is the “calm before the storm” and we’re about to swap tranquility for winter driving conditions and chain control! We are expecting a winter storm starting tonight through the weekend, so if you’re planning to travel through Donner Summit tonight, now’s the time to prepare!

❄️Winter Survival Checklist:

✅ Tires – Check ‘em. Chains – Bring ‘em, because “I’ll be fine” is not a real strategy.
✅ Supplies – Pack extra snacks, water, and warm clothes. Think less “casual road trip” and more “winter camping with wheels.”
✅ Full Tank of Gas – Because your car can’t run on hope.
✅ Time – Add some. Plan extra travel time, expect delays, check the weather periodically, and don’t be the reason the traffic reports says, “Freeway closed, major delays.”

Our officers will be out ensuring safety, but a little preparation goes a long way. Drive safe, be smart, and respect the storm! 🌨️🚓

#CHPTruckee #CalmBeforeTheStorm #WinterIsComing #ChainControl #DriveSafe #SnowLaughingMatter"
2024-12-14 15:14:21+00:00,,False,900733468912199,https://www.facebook.com/chp.truckee/videos/400872096354454/,1,1,"❄️ CHAIN CONTROL UPDATE❄️
(12/14/24 at 7:15am) 

• I-80 eastbound and westbound are both R2 from Baxter to the Nevada State line. 
• SR-267 is R2 from Northstar to Kings Beach.
• SR-89 is R2 from Truckee to Tahoe City. 
• SR-28 is R2 from Tahoe City to Kings Beach. 
** Trucks are at maximum restrictions. All trucks pulling doubles are being turned around at Applegate and the Nevada State line. 

❄️for updates on road conditions visit the Caltrans Quickmap app."
2024-12-15 02:16:39+00:00,,False,901031802215699,https://www.facebook.com/reel/551010647914114/,0,1,"🚨 TRAFFIC ALERT 🚨
(12/14/24 at 6:15pm) 

Eastbound I-80 traffic is currently being held at Nyack due to multiple spin-outs over Donner Summit.  No estimated time of reopening."
