event_id,closure_end,closure_start,source_record_count,has_reopening_time,last_closure_report,duration_status,duration_hours
I80-0096,,2019-12-01 17:41:21+00:00,3,False,2019-12-02 00:52:28+00:00,right_censored,
I80-0097,,2019-12-02 16:16:19+00:00,1,False,2019-12-02 16:16:19+00:00,right_censored,
I80-0098,,2019-12-07 08:54:46+00:00,1,False,2019-12-07 08:54:46+00:00,right_censored,
I80-0099,,2020-01-16 21:54:09+00:00,2,False,2020-01-16 23:05:00+00:00,right_censored,
I80-0100,,2020-01-29 04:46:50+00:00,1,False,2020-01-29 04:46:50+00:00,right_censored,
I80-0101,,2020-02-24 04:12:24+00:00,1,False,2020-02-24 04:12:24+00:00,right_censored,
I80-0102,,2020-03-01 03:21:23+00:00,1,False,2020-03-01 03:21:23+00:00,right_censored,
I80-0103,2020-03-14 21:14:00+00:00,2020-03-14 20:58:25+00:00,1,True,,observed,0.25972222222222224
I80-0104,,2020-03-14 21:14:37+00:00,3,False,2020-03-15 03:54:36+00:00,right_censored,
I80-0105,2020-03-15 00:40:00+00:00,2020-03-14 21:42:08+00:00,1,True,,observed,2.9644444444444447
I80-0106,2020-03-15 15:15:00+00:00,2020-03-15 05:07:39+00:00,3,True,,observed,10.1225
I80-0107,2020-03-15 22:15:00+00:00,2020-03-15 17:21:34+00:00,2,True,,observed,4.890555555555555
I80-0108,,2020-03-16 00:55:06+00:00,1,False,2020-03-16 00:55:06+00:00,right_censored,
I80-0109,,2020-03-16 15:19:51+00:00,11,False,2020-03-17 20:41:50+00:00,right_censored,
I80-0110,2020-03-16 21:15:00+00:00,2020-03-16 19:57:11+00:00,2,True,,observed,1.2969444444444445
I80-0111,,2020-03-26 01:46:15+00:00,1,False,2020-03-26 01:46:15+00:00,right_censored,
I80-0112,2020-03-26 05:45:00+00:00,2020-03-26 03:38:49+00:00,2,True,,observed,2.1030555555555557
I80-0113,,2020-04-05 17:29:49+00:00,9,False,2020-04-06 16:53:25+00:00,right_censored,
I80-0114,2020-10-12 05:15:00+00:00,2020-10-12 02:35:14+00:00,1,True,,observed,2.662777777777778
I80-0115,,2020-10-30 16:19:02+00:00,1,False,2020-10-30 16:19:02+00:00,right_censored,
I80-0116,2020-11-09 18:16:00+00:00,2020-11-09 16:10:01+00:00,1,True,,observed,2.0997222222222223
I80-0117,,2020-12-30 17:41:58+00:00,1,False,2020-12-30 17:41:58+00:00,right_censored,
I80-0118,2021-01-22 19:43:00+00:00,2021-01-22 17:59:27+00:00,1,True,,observed,1.7258333333333333
I80-0119,,2021-01-22 19:43:44+00:00,1,False,2021-01-22 19:43:44+00:00,right_censored,
I80-0120,,2021-01-24 02:03:55+00:00,1,False,2021-01-24 02:03:55+00:00,right_censored,
I80-0121,,2021-01-25 01:38:22+00:00,1,False,2021-01-25 01:38:22+00:00,right_censored,
